LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-118.3923837,37.3589236,386,SNEDEN ST,,BISHOP,,,,,aea0a069333ac52f
-118.389821,37.3622284,132,MOFFETT DR,,BISHOP,,,,,02de0f5181c0b637
-118.3929069,37.3589077,187,E SOUTH ST,,BISHOP,,,,,1ddfc826f36b8813
-118.3884021,37.358981,425,E SOUTH ST,,BISHOP,,,,,66f309ea21db182a
-118.3892489,37.3590058,393,E SOUTH ST,,BISHOP,,,,,87693ab35ce8ba9f
-118.3904538,37.3589586,341,E SOUTH ST,,BISHOP,,,,,6f34b223f5758e2e
-118.3908072,37.3588637,325,E SOUTH ST,,BISHOP,,,,,cd680e8cc369ae8f
-118.3906335,37.3589567,331,E SOUTH ST,,BISHOP,,,,,fa4e9916524797d5
-118.3985606,37.3590387,385,S FOWLER ST,,BISHOP,,,,,ac0bf89316658563
-118.4080128,37.362554,153,PIONEER LN,,BISHOP,,,,,2072b8929edf4a30
-118.3878363,37.3642325,486,HANBY AVE,,BISHOP,,,,,8c93c6282d2b8632
-118.4016234,37.3619145,651,W LINE ST,,BISHOP,,,,,2f87b52cb2479611
-118.398672,37.3600082,411,LAGOON ST,,BISHOP,,,,,0bb9d649a728e83a
-118.3905255,37.3607409,337,SHORT ST,,BISHOP,,,,,dfc51b629a828817
-118.3959675,37.3607137,150,S WARREN ST,,BISHOP,,,,,7ab1c657e6b3a567
-118.3986713,37.3610256,406,W LINE ST,,BISHOP,,,,,d3f31b2efd615f2a
-118.3901592,37.3611685,352,E LINE ST,,BISHOP,,,,,5c389a72d94c2a56
-118.4032809,37.3610222,760,W LINE ST,,BISHOP,,,,,d4e6e9a89b99f2ae
-118.4003756,37.3616114,595,W LINE ST,,BISHOP,,,,,91193f06f77f2d9a
-118.393948,37.3621072,164,WILLOW ST,,BISHOP,,,,,78a1b6a84272aa42
-118.3965243,37.3623738,199,N WARREN ST,,BISHOP,,,,,f8cc07b48ef202ad
-118.3959058,37.3629105,146,ACADEMY AVE,,BISHOP,,,,,811d80e7aae38f35
-118.3964065,37.3628048,208,ACADEMY AVE,,BISHOP,,,,,dfdeed81d5458671
-118.3978333,37.3661508,691,HAMMOND ST,,BISHOP,,,,,7fcbc946186a7d86
-118.3980504,37.3665649,695,HAMMOND ST,,BISHOP,,,,,05ced163333f02db
-118.396452,37.3632708,286,N WARREN ST,,BISHOP,,,,,0229144807114b80
-118.3968745,37.3633241,263,ACADEMY AVE,,BISHOP,,,,,141d5ac5ab5c58a1
-118.3949544,37.3634173,386,N MAIN ST,,BISHOP,,,,,42e5e4a778db9032
-118.3974272,37.3634651,357,HAMMOND ST,,BISHOP,,,,,da4f1eefded9b6ed
-118.3916629,37.3637375,386,N THIRD ST,,BISHOP,,,,,89376b3274bfc0f5
-118.3970578,37.3635845,362,HAMMOND ST,,BISHOP,,,,,80a2adea66f2e54b
-118.3975142,37.3636466,387,HAMMOND ST,,BISHOP,,,,,9dfb4d0da0027f7f
-118.3969793,37.3658383,662,HAMMOND ST,,BISHOP,,,,,764aa7d1bffb2273
-118.3999542,37.3640308,587,W PINE ST,,BISHOP,,,,,749f45efc64dcb15
-118.3924901,37.3652888,562,HOWARD ST,,BISHOP,,,,,06742e7d61278cea
-118.4019117,37.3652756,680,W ELM ST,,BISHOP,,,,,d17c5998bebd95ef
-118.3939509,37.3690799,152,E YANEY ST,,BISHOP,,,,,065ce1d7c6645788
-118.3966574,37.3709312,273,SIERRA ST,,BISHOP,,,,,f2f1ec4b42d491c3
-118.4028131,37.365763,718,W ELM ST,,BISHOP,,,,,3fe6f4be68602b5e
-118.4006689,37.3661639,620,KEOUGH ST,,BISHOP,,,,,f4a34b42f828ab30
-118.3950416,37.3711336,970,N MAIN ST,,BISHOP,,,,,6634d033e4718d0f
-118.3901159,37.3746612,1250,SPRUCE ST,,BISHOP,,,,,20aa2832b55806cc
-118.39265,37.3759965,235,WYE RD,,BISHOP,,,,,11a75a4bd084cb80
-118.3931272,37.3753976,218,WYE RD,,BISHOP,,,,,541ed92b5bbdfc42
-118.3842073,37.3596764,201,JOHNSTON DR,,BISHOP,,,,,ca1e956739776c89
-118.3964441,37.3619858,175,N WARREN ST,,BISHOP,,,,,56176bfaf4a61959
-118.3972673,37.3616264,301,W LINE ST,,BISHOP,,,,,f740786bf4d9966f
-118.3903073,37.3618542,111,MOFFETT DR,,BISHOP,,,,,ce768291ba86bb90
-118.3898809,37.3617315,106,MOFFETT DR,,BISHOP,,,,,3b902fda9ad37603
-118.3903995,37.3617419,103,MOFFETT DR,,BISHOP,,,,,71dca22f531f8c77
-118.3902777,37.3617454,101,MOFFETT DR,,BISHOP,,,,,e621d2b30154c433
-118.3898785,37.3616526,102,MOFFETT DR,,BISHOP,,,,,ba015b3aea98dbd5
-118.3897932,37.3618525,112,MOFFETT DR,,BISHOP,,,,,62b9ad2f67473516
-118.3902762,37.3620624,121,MOFFETT DR,,BISHOP,,,,,685979ec0a877100
-118.3898176,37.3620668,122,MOFFETT DR,,BISHOP,,,,,e0d1a98e9ebf8c47
-118.3902626,37.3622281,131,MOFFETT DR,,BISHOP,,,,,15008ae8ea72c337
-118.3903832,37.3624023,141,MOFFETT DR,,BISHOP,,,,,de63a90319395519
-118.3897059,37.3624061,144,MOFFETT DR,,BISHOP,,,,,c0563e6fb19f75fd
-118.390277,37.3625564,151,MOFFETT DR,,BISHOP,,,,,ce28e619e7c5bb4d
-118.3898356,37.3625536,152,MOFFETT DR,,BISHOP,,,,,13548b21113ed428
-118.3902564,37.3626762,161,MOFFETT DR,,BISHOP,,,,,d0458be0df2fa6f6
-118.3903352,37.3626715,163,MOFFETT DR,,BISHOP,,,,,1a1d419bb625f023
-118.3896923,37.3627529,164,MOFFETT DR,,BISHOP,,,,,8fb9acdb79c996ae
-118.3961347,37.363266,177,ACADEMY AVE,,BISHOP,,,,,ec9ea2179d92e7c3
-118.4013115,37.370241,873,CHAMBERLAIN ST,,BISHOP,,,,,41d5df11fcc7d6d1
-118.3984504,37.3622725,401,CHURCH ST,,BISHOP,,,,,821ae807e6558f3e
-118.3936776,37.3593287,142,CLARKE ST,,BISHOP,,,,,1607aec88defd0e3
-118.3945886,37.3594168,124,CLARKE ST,,BISHOP,,,,,78441213a20d647b
-118.3945032,37.3594211,136,CLARKE ST,,BISHOP,,,,,943c921d013397c4
-118.3940987,37.3597634,137,CLARKE ST,,BISHOP,,,,,a157c89bb6560cbf
-118.3923912,37.3594448,212,CLARKE ST,,BISHOP,,,,,9b99c19fbdc643cf
-118.3917595,37.3597564,261,CLARKE ST,,BISHOP,,,,,03a433b1d9cf6ddf
-118.4002679,37.3698121,817,COATS ST,,BISHOP,,,,,7743811fc36225b5
-118.3863813,37.3607296,186,FIRST ST,,BISHOP,,,,,f2fd00f131642111
-118.3980177,37.3627927,274,N FOWLER ST,,BISHOP,,,,,9f1f9a001cdb4657
-118.3980194,37.3628234,278,N FOWLER ST,,BISHOP,,,,,b3b581ae52dc85b1
-118.3979975,37.3629003,286,N FOWLER ST,,BISHOP,,,,,d35d8b7ebc32ef84
-118.3978297,37.3634156,336,N FOWLER ST,,BISHOP,,,,,785a8664108612c4
-118.3983988,37.3649548,536,N FOWLER ST,,BISHOP,,,,,410175e69cb944e7
-118.3983771,37.3652258,587,N FOWLER ST,,BISHOP,,,,,29ae50251d4ec232
-118.3980187,37.3658119,668,N FOWLER ST,,BISHOP,,,,,0bf4dfd7647d790e
-118.3990573,37.3607901,144,FULTON ST,,BISHOP,,,,,224ca1facbe55fb8
-118.3990945,37.3605506,152,FULTON ST,,BISHOP,,,,,34964c70e727a3af
-118.3990839,37.3602629,162,FULTON ST,,BISHOP,,,,,0dcce5aab8447f08
-118.3991301,37.3602161,168,FULTON ST,,BISHOP,,,,,b779fa18640ebd90
-118.399235,37.3599562,174,FULTON ST,,BISHOP,,,,,671fbdba945bd8c1
-118.3978412,37.3649445,363,GROVE ST,,BISHOP,,,,,05dc2dfb51d66661
-118.400541,37.3643454,614,GROVE ST,,BISHOP,,,,,ecb6192e99f6fb2c
-118.4034397,37.3647852,743,GROVE ST,,BISHOP,,,,,3e372fc565d53d54
-118.3974953,37.3657837,663,HAMMOND ST,,BISHOP,,,,,7ca3f3a320ce58a2
-118.3976724,37.366578,697,HAMMOND ST,,BISHOP,,,,,23d3511c90ac798d
-118.3974389,37.366401,699,HAMMOND ST,,BISHOP,,,,,48f123861df11b82
-118.3877688,37.3620844,164,HANBY AVE,,BISHOP,,,,,011cb10d77c6845c
-118.3877604,37.3622484,188,HANBY AVE,,BISHOP,,,,,20509a3b424b66f5
-118.3931625,37.3631121,326,HIGH ST,,BISHOP,,,,,ef59538773114d76
-118.3931627,37.3639055,426,HIGH ST,,BISHOP,,,,,4010c243f6c0eab3
